component	emission	unit	2012	2013	2014	2015	2016	2017	2018	2019	2020
domestic_footprint	N2O	t	5326.165591172519	5317.456129022312	5213.436368685356	5170.948406764642	5062.325464388286	5207.042126197701	5267.344143548433	5201.447634660496	5269.358348927921
footprint_gross_exports	N2O	t	5997.164432935625	5710.170887624888	6320.284397955005	6553.981059383164	5896.8440348112135	5126.620284642639	5412.850478957545	5462.473494044787	4867.310622776614
footprint_gross_imports	N2O	t	14660.037981998314	14445.84191118812	15121.53842551232	14087.635801205744	13336.525927609478	10760.548146718447	12078.777767396705	11340.95944742043	10728.061167888249
household_totals	N2O	t	293.0892856	290.5349997	255.0908549	253.8952101	267.5997903	250.2133593	257.9661377	225.3533759	230.418296
import_footprint	N2O	t	11674.303018790177	11691.207056040925	11911.28961597196	10981.23353875794	10568.075187609982	8542.630527578112	9503.847572090728	8933.419793815146	8547.971133983709
production_account	N2O	t	8337.5950609	8272.9921615	8323.4719571	8618.5272037	8190.7187592	8115.7447917	8105.264427200001	8256.381475099999	7956.5789378
production_account_with_households	N2O	t	8630.684346499998	8563.5271612	8578.562812	8872.422413799999	8458.3185495	8365.958151	8363.2305649	8481.734851	8186.9972338
total_footprint	N2O	t	17000.468609962696	17008.663185063237	17124.725984657314	16152.18194552258	15630.400651998269	13749.672653775811	14771.19171563916	14134.867428475642	13817.32948291163
total_footprint_with_households	N2O	t	17293.557895562695	17299.198184763238	17379.816839557316	16406.07715562258	15898.00044229827	13999.886013075811	15029.157853339158	14360.220804375642	14047.74777891163
